epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.158,1.43153,2.24114,1.61374,0.35358,0.43174,0.33584,0.11025,2.16466,2.7993,2.48777,0.000547118,0.000547118,0.000547118
2,316.062,1.38424,1.70987,1.55944,0.66324,0.69077,0.69543,0.3839,1.57006,1.97124,2.18928,0.00108095,0.00108095,0.00108095
3,461.151,1.40612,1.60706,1.55601,0.62107,0.5909,0.60293,0.34749,1.49421,1.84098,1.88436,0.00159278,0.00159278,0.00159278
4,608.032,1.42327,1.57632,1.56155,0.51665,0.54927,0.48293,0.22128,1.76022,2.20955,1.99634,0.00156798,0.00156798,0.00156798
5,755.972,1.37656,1.40617,1.52207,0.81419,0.71707,0.80757,0.46859,1.45798,1.39701,1.83092,0.00153497,0.00153497,0.00153497
6,918.671,1.37701,1.37482,1.51792,0.79514,0.72574,0.79238,0.42099,1.57338,1.47454,1.94476,0.00150197,0.00150197,0.00150197
7,1057.19,1.32998,1.29398,1.48272,0.78419,0.65632,0.72378,0.43513,1.40399,1.37596,1.76282,0.00146896,0.00146896,0.00146896
